Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Malik Monk,Hometown Hero,"(not listed)","(not listed)","(not listed)",Sprite,4/22/24,"1 IGS",Instagram,"Sprite Tunnel Walk","$10,000"
Jose Alvarado,Hometown Hero,"(not listed)","(not listed)","(not listed)",Sprite,4/26/24,"1 IGS",Instagram,"Sprite Tunnel Walk","$7,500"
Bol Bol,Hometown Hero,"(not listed)","(not listed)","(not listed)",Sprite,5/9/24,"1 IGS",Instagram,"Sprite Tunnel Walk","$10,000"
Immanuel Quickley,Rising Star,"(not listed)","(not listed)","(not listed)",Sprite,4/19/24,"90-min appearance + content capture + 1 signed jersey + 1 IGS",Instagram,"Sprite Fan Shopping Experience","$10,000"
Julius Randle,All-Star,"(not listed)","(not listed)","(not listed)",ULTRA,5/8/24,"30-min content capture","Digital/Social Ad","ULTRA Content Capture","$30,000"
Giannis Antetekounmpo,MVP,"(not listed)","(not listed)","(not listed)",ULTRA,6/14/24,"Content Capture + In-Feed Post",Instagram,"Superior Takes- Social Series","$100,000"
Julius Randle,All-Star,"(not listed)","(not listed)","(not listed)",ULTRA,6/13/24,"Content Capture + In-Feed Post",Instagram,"Superior Takes- Social Series","$40,000"
Caleb Martin,Hometown Hero,"(not listed)","(not listed)","(not listed)",ULTRA,6/14/24,"Content Capture + In-Feed Post",Instagram,"Superior Takes- Social Series","$15,000"
Oshae Brissett,Vet,"(not listed)","(not listed)","(not listed)",ULTRA,6/21/24,"1 In-feed",Instagram,"Ultra Champ Bottles","$25,000"
Payton Pritchard,Hometown Hero,"(not listed)","(not listed)","(not listed)",ULTRA,6/27/24,"1 In-feed",Instagram,"Ultra Champ Bottles","$30,000"
Jaime Jaquez Jr,Rising Star,"442k","(not listed)","(not listed)",Chase,7/15/24,"2 IGS",Instagram,"Chase BH Deli","$45,000"
Scoot Henderson,Rising Star,"556k","(not listed)","(not listed)",Chase,7/15/24,"1 IGS + 1 IG In-Feed",Instagram,"Chase BH Deli","$50,000"
Dereck Lively II,Rising Star,"(not listed)","(not listed)","(not listed)",Chase,7/15/24,"(not listed)",Instagram,"(not listed)","$30,000"
Kentavious Caldwell-Pope,Hometown Hero,"(not listed)","(not listed)","(not listed)",American Express,10/2/24,"1 IGS",Instagram,"Jersey Assurance","$25,000"
Tim Hardaway Jr,Hometown Hero,"(not listed)","(not listed)","(not listed)",American Express,10/2/24,"1 IGS",Instagram,"Jersey Assurance","$10,000"
Alex Caruso,Hometown Hero,"(not listed)","(not listed)","(not listed)",American Express,10/3/24,"1 IGS",Instagram,"Jersey Assurance","$25,000"
Dejounte Murray,All-Star,"(not listed)","(not listed)","(not listed)",American Express,10/9/24,"1 IGS",Instagram,"Jersey Assurance","$20,000"
Paul George,All-Star,"(not listed)","(not listed)","(not listed)",American Express,"(date not listed)","1 IGS",Instagram,"Jersey Assurance","$75,000"
Baron Davis,Legend,"(not listed)","(not listed)","(not listed)",Chase,10/16/24,Meet and Greet,"(not listed)","(not listed)","(not listed)"
Immanuel Quickley,Rising Star,"(not listed)","(not listed)","(not listed)",Sprite,11/19/24,"2hr Content Shoot","(not listed)","(not listed)","(not listed)"
